OID,file,path,latitude,longitude,timestamp,scanArea,pitch,roll,x,y,area,amaj,amin,dist,conf,class,UTMNO,UTMLE
1,G0010981.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0010981.JPG,31.694032199972224,-138.81111079997223,2019-11-26 16:17:33,132385.34317076916,68.69346390266885,2.001079618830059,707467.5440599137,3508625.73489826,0.5949438452876077,1.080355483788096,0.7140610477568793,22.63271033243997,0.6801758,0.0,7,R
2,G0010982.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0010982.JPG,31.6939552,-138.81118299997223,2019-11-26 16:17:35,173816.62972001458,68.54031766479932,1.0005401387193622,707451.4088704131,3508617.5352971056,0.4861093640020651,0.7429922660047811,0.6620658760500368,21.312796894008,0.6582031,0.0,7,R
3,G0012410.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0012410.JPG,33.71089419997222,-140.99867079999999,2019-12-03 19:22:34,129579.08044920082,70.24065702186576,-2.001079618830066,500134.3979300215,3730125.9384589894,0.047343933234785626,0.3455828377122856,0.16124616487030324,27.12087226239831,0.21203613,0.0,7,S
4,G0013059.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013059.JPG,33.777864799999996,-140.8363667,2019-12-03 20:18:23,172831.06621752118,68.83065191026004,1.0005401387193622,515137.49122675165,3737575.9525420154,0.24715074998733785,0.7776287259790424,0.36256988862553025,39.57966508298008,0.11834717,0.0,7,S
5,G0013059.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013059.JPG,33.777864799999996,-140.8363667,2019-12-03 20:18:23,172831.06621752118,68.83065191026004,1.0005401387193622,515148.05180644826,3737600.7861550655,0.6633746686449145,1.4757897547610361,0.4570288297493525,62.29051009959563,0.2836914,0.0,7,S
6,G0013139.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013139.JPG,33.786207999999995,-140.8165317,2019-12-03 20:25:19,275846.3661728106,69.85410716952933,-3.5102500326544e-15,516997.85620994476,3738526.327595549,4.80632774229975,3.248259226379663,1.663423776913828,60.967957459704834,0.13989258,0.0,7,S
7,G0013139.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013139.JPG,33.786207999999995,-140.8165317,2019-12-03 20:25:19,275846.3661728106,69.85410716952933,-3.5102500326544e-15,516968.0792210722,3738516.104716954,11.436796521984258,5.09062151417466,2.7464261212766155,52.31918510942913,0.21240234,0.0,7,S
8,G0013185.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013185.JPG,33.79100449997222,-140.8051919,2019-12-03 20:29:15,168917.9900822375,70.2286344756369,-1.000540138719369,518032.8517974727,3739028.710206786,0.7366140332443734,1.0461810100547613,0.7381319860756281,28.319849555831816,0.111328125,0.0,7,S
9,G0013185.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013185.JPG,33.79100449997222,-140.8051919,2019-12-03 20:29:15,168917.9900822375,70.2286344756369,-1.000540138719369,518076.50936393696,3739093.9402742893,4.972176406338548,5.249582151288265,1.0318099687169864,102.70805959203719,0.3527832,0.0,7,S
10,G0013287.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013287.JPG,33.801523199972216,-140.780344,2019-12-03 20:38:01,131132.8425381724,69.20335564428757,2.001079618830059,520322.176094227,3740205.482227452,3.166255261678134,2.835475734617755,1.237144778440139,35.518956271678306,0.171875,0.0,7,S
11,G0013287.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013287.JPG,33.801523199972216,-140.780344,2019-12-03 20:38:01,131132.8425381724,69.20335564428757,2.001079618830059,520315.86015320994,3740194.7789796297,0.8010311795764754,1.685808955599067,0.5772040071486656,28.395183386324927,0.2388916,0.0,7,S
12,G0013287.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013287.JPG,33.801523199972216,-140.780344,2019-12-03 20:38:01,131132.8425381724,69.20335564428757,2.001079618830059,520353.31576097244,3740240.996741798,29.038577681324732,8.508820789530116,4.469015662917444,72.93280145106678,0.3083496,0.0,7,S
13,G0013289.JPG,C:\Users\RobindeVriesTheOcean\Dropbox (The Ocean Cleanup)\Ocean Research\Robin\GoPro NN\data\NPM3\Originals_Portside\G0013289.JPG,33.80173589997222,-140.77985649997223,2019-12-03 20:38:11,131132.8425381724,69.20335564428757,2.001079618830059,520372.38860992214,3740237.4781025667,0.4059626345533773,0.8952927466618125,0.46020121131226543,42.73742900689078,0.48242188,0.0,7,S
